actual,predicted
2450,2472.6810344830055
7000,4449.769067797296
1175,2680.094420601106
1900,2472.6810344830055
2100,3247.153846154037
3400,2942.702746363923
1795,2942.702746363923
3200,4449.769067797296
3063,2705.2631578948894
2690,4449.769067797296
3995,4449.769067797296
3009,3247.153846154037
2200,2942.702746363923
2575,2680.094420601106
2950,2942.702746363923
1875,2175.83536585386
4900,4449.769067797296
2295,2942.702746363923
2950,2942.702746363923
5000,2942.702746363923
1900,3247.153846154037
3795,2942.702746363923
6295,4449.769067797296
2000,2942.702746363923
3095,2854.0854922285416
3500,2942.702746363923
1993,1760.8000000001532
2950,2854.0854922285416
2600,2854.0854922285416
1900,1760.8000000001532
2095,2472.6810344830055
5995,4449.769067797296
4000,2680.094420601106
4500,4449.769067797296
3700,3247.153846154037
2850,2854.0854922285416
2900,2942.702746363923
6800,4449.769067797296
2100,2854.0854922285416
2050,2942.702746363923
1580,2472.6810344830055
2295,2680.094420601106
3813,2942.702746363923
4750,4449.769067797296
3148,2942.702746363923
3345,2942.702746363923
1325,3247.153846154037
1995,2472.6810344830055
2800,4449.769067797296
2677,2854.0854922285416
2500,2854.0854922285416
2000,2680.094420601106
1850,2680.094420601106
2514,2942.702746363923
4200,4449.769067797296
4895,4449.769067797296
1000,2680.094420601106
2350,2472.6810344830055
3959,2942.702746363923
2595,2942.702746363923
3200,4449.769067797296
3950,2942.702746363923
2300,2472.6810344830055
5200,4449.769067797296
3000,4449.769067797296
1600,2942.702746363923
2950,2942.702746363923
2300,2472.6810344830055
2525,3247.153846154037
1650,2854.0854922285416
4500,2942.702746363923
5000,2854.0854922285416
2800,2680.094420601106
3600,4449.769067797296
2749,2942.702746363923
4525,3247.153846154037
2010,1760.8000000001532
2691,2942.702746363923
2175,2942.702746363923
2697,2854.0854922285416
2900,2680.094420601106
3400,2942.702746363923
1650,2942.702746363923
2850,2175.83536585386
3300,4449.769067797296
2285,2942.702746363923
13500,4449.769067797296
7600,2942.702746363923
2395,2680.094420601106
3950,2942.702746363923
2400,2472.6810344830055
4200,4449.769067797296
2000,2175.83536585386
2575,2854.0854922285416
4350,4449.769067797296
3570,2942.702746363923
1795,2175.83536585386
1820,2175.83536585386
4040,4449.769067797296
2980,2942.702746363923
4995,2854.0854922285416
2285,2472.6810344830055
1850,2680.094420601106
3550,4449.769067797296
4145,2942.702746363923
4150,2854.0854922285416
1400,4449.769067797296
5500,2472.6810344830055
2400,2854.0854922285416
3250,4449.769067797296
2595,4449.769067797296
2400,2680.094420601106
2795,2942.702746363923
3600,2854.0854922285416
2699,2942.702746363923
4280,4449.769067797296
3200,2854.0854922285416
2000,4449.769067797296
1900,2175.83536585386
4385,2680.094420601106
2330,3247.153846154037
2495,2472.6810344830055
3150,4449.769067797296
1200,2854.0854922285416
3300,2854.0854922285416
4750,2854.0854922285416
6131,3247.153846154037
2850,2942.702746363923
3800,4449.769067797296
1650,2175.83536585386
2495,2854.0854922285416
3700,2942.702746363923
